episode,seed,epsilon,total_reward,mean_loss,max_loss,steps,done,recovered,lost,final_status,final_battery_pct,final_attitude_error,final_fuel_units,invalid_action_count,diagnostic_action_count,rolling_reward_20,rolling_loss_20,rolling_success_rate_20,eval_mean_reward,eval_success_rate
66,72,0.656944,-15.650000,1.542032,71.774367,50,1,0,1,lost,100.000,9.500,0.000,0,21,-15.785000,1.640320,0.000000,,
67,73,0.651667,-13.700000,1.807567,87.243089,50,1,0,1,lost,100.000,0.000,48.000,1,16,-15.647500,1.648835,0.000000,,
68,74,0.646389,-18.150000,1.451674,63.608139,50,1,0,1,lost,87.410,21.000,0.000,1,15,-16.145000,1.642945,0.000000,,
69,75,0.641111,-10.650000,1.758317,79.946094,50,1,0,1,lost,100.000,1.500,0.000,3,15,-15.737500,1.658700,0.000000,,
70,76,0.635833,-14.400000,1.743393,82.299321,50,1,0,1,lost,100.000,0.952,34.000,4,14,-15.957500,1.664538,0.000000,,
71,77,0.630556,-9.800000,1.741864,85.672467,50,1,0,1,lost,89.970,2.700,44.000,0,23,-15.800000,1.666517,0.000000,,
72,78,0.625278,-8.950000,1.806124,83.662100,50,1,0,1,lost,100.000,0.000,28.500,1,18,-15.562500,1.674972,0.000000,,
73,79,0.620000,-12.950000,1.739771,82.788858,50,1,0,1,lost,100.000,0.000,38.000,3,17,-15.230000,1.683176,0.000000,,
74,80,0.614722,-12.350000,1.879794,79.996352,46,1,0,1,lost,100.000,2.100,0.000,0,19,-14.875000,1.696780,0.000000,,
75,81,0.609444,-11.200000,1.602964,74.603582,49,1,0,1,lost,100.000,1.500,0.000,2,14,-14.460000,1.699343,0.000000,,
76,82,0.604167,-18.150000,1.533295,74.049627,50,1,0,1,lost,100.000,13.500,0.000,1,18,-14.600000,1.694479,0.000000,,
77,83,0.598889,-21.100000,1.395063,64.865760,50,1,0,1,lost,91.250,24.500,0.000,2,17,-14.835000,1.685547,0.000000,,
78,84,0.593611,-11.800000,1.554576,74.251947,50,1,0,1,lost,40.130,0.000,30.000,1,22,-14.712500,1.680778,0.000000,,
79,85,0.588333,-30.850000,1.538446,71.789273,50,1,0,1,lost,64.000,0.000,2.000,1,18,-15.607500,1.669281,0.000000,,
80,86,0.583056,-12.500000,1.751980,81.875543,50,1,0,1,lost,100.000,0.452,48.000,1,25,-15.592500,1.667963,0.000000,-16.810000,0.000000
