episode,step,action_index,action_label,reward,loss,done,mission_status,battery_pct,attitude_error,fuel_units,last_action_result
2,23,30,resume_nominal,-0.550000,0.011834,0,degraded,68.870,0.000,24.500,refused: 1 unresolved fault(s) - resolve before resuming nominal
2,24,26,diagnostic_scan:power,0.050000,0.001004,0,degraded,68.870,0.000,23.000,diag-scan power: bat=68.9% solar=180.0W load=50.0W net=positive pcf=False
2,25,22,query_power_level:solar_a,0.000000,0.002109,0,degraded,68.870,0.000,21.500,diag: solar_a output=90.0W health=1.00 (panel nominal)
2,26,5,restore_load:science_b,0.050000,0.012272,0,degraded,68.870,0.000,20.000,science_b restored
2,27,20,recalibrate_imu,0.000000,0.002065,0,degraded,68.870,0.000,18.500,IMU recalibrated (bias was negligible)
2,28,15,recalibrate_star_tracker,-0.250000,0.009196,0,degraded,68.870,0.000,17.000,star tracker nominal; recalibration unnecessary
2,29,22,query_power_level:solar_a,0.000000,0.000231,0,degraded,68.870,0.000,15.500,diag: solar_a output=90.0W health=1.00 (panel nominal)
2,30,3,shed_load:transponder,-0.250000,0.003805,0,degraded,68.870,0.000,14.000,transponder already offline
2,31,11,reconfigure_power:solar_b,-0.350000,0.217650,0,degraded,68.870,0.000,12.500,solar_b has no active fault to reconfigure
2,32,29,safe_mode,-0.250000,0.001553,0,degraded,68.870,0.000,11.000,safe mode engaged; non-essentials shed
2,33,28,diagnostic_scan:comms,0.050000,0.017997,0,degraded,68.870,0.000,9.500,diag-scan comms: transponder=offline signal=0.0dB comms_fault=False pending_cycle=True
2,34,13,switch_to_thruster_control,-0.250000,0.001554,0,degraded,68.870,0.000,8.000,already in thruster mode
2,35,0,shed_load:science_a,-0.250000,0.000373,0,degraded,68.870,0.000,6.500,science_a already offline
2,36,9,reset_power_controller,-0.250000,0.003595,0,degraded,68.870,0.000,5.000,power controller nominal; reset had no effect
2,37,28,diagnostic_scan:comms,0.050000,0.007073,0,degraded,68.870,0.000,3.500,diag-scan comms: transponder=offline signal=0.0dB comms_fault=False pending_cycle=True
2,38,5,restore_load:science_b,0.050000,0.004222,0,degraded,68.870,0.000,2.000,science_b restored
2,39,28,diagnostic_scan:comms,0.050000,0.001535,0,degraded,68.870,0.000,0.500,diag-scan comms: transponder=offline signal=0.0dB comms_fault=False pending_cycle=True
2,40,30,resume_nominal,-1.000000,0.143649,0,critical,68.870,1.500,0.000,refused: 1 unresolved fault(s) - resolve before resuming nominal
2,41,17,switch_attitude_reference:star_tracker,-0.500000,0.066249,0,critical,68.870,3.000,0.000,attitude reference set to star_tracker
2,42,22,query_power_level:solar_a,-0.450000,0.097197,0,critical,68.870,4.500,0.000,diag: solar_a output=76.5W health=1.00 (panel nominal)
2,43,20,recalibrate_imu,-0.450000,0.076075,0,critical,68.870,6.000,0.000,IMU recalibrated (bias was negligible)
2,44,18,switch_attitude_reference:gyro,-0.500000,0.082338,0,critical,68.870,7.500,0.000,attitude reference set to gyro
2,45,4,restore_load:science_a,-0.400000,0.050495,0,critical,68.870,9.000,0.000,science_a restored
2,46,14,desaturate_wheels,-0.800000,0.231548,0,critical,68.870,10.500,0.000,insufficient fuel to desaturate
2,47,23,query_power_level:solar_b,-0.450000,0.060155,0,critical,68.720,12.000,0.000,diag: solar_b output=42.8W health=1.00 (panel nominal)
2,48,14,desaturate_wheels,-0.800000,0.085713,0,critical,68.120,13.500,0.000,insufficient fuel to desaturate
2,49,24,query_attitude,-0.450000,0.079333,0,critical,67.070,15.000,0.000,diag: mode=tumbling err=13.50deg rw=nominal ref=gyro st_bias=0.0 gyro_bias=0.0
2,50,7,restore_load:transponder,-10.400000,54.474516,1,lost,65.070,16.500,0.000,transponder restored
3,1,14,desaturate_wheels,-0.150000,0.046382,0,degraded,60.300,3.158,50.000,wheels already nominal; desaturation unnecessary
3,2,22,query_power_level:solar_a,0.000000,0.011310,0,degraded,60.300,3.758,50.000,diag: solar_a output=75.8W health=1.00 (panel nominal)
3,3,6,restore_load:heaters,-0.250000,0.000005,0,degraded,60.300,4.358,50.000,heaters already online
3,4,24,query_attitude,0.000000,0.011279,0,degraded,60.300,4.958,50.000,diag: mode=nominal err=4.36deg rw=nominal ref=star_tracker st_bias=4.3 gyro_bias=0.0
3,5,26,diagnostic_scan:power,0.050000,0.000780,0,degraded,60.300,5.558,50.000,diag-scan power: bat=60.3% solar=135.4W load=105.0W net=positive pcf=True
3,6,23,query_power_level:solar_b,0.000000,0.019524,0,degraded,60.300,6.158,50.000,diag: solar_b output=65.0W health=1.00 (panel nominal)
3,7,7,restore_load:transponder,-0.250000,0.887828,0,degraded,60.120,6.758,50.000,transponder already online
3,8,19,switch_attitude_reference:sun_sensor,0.250000,0.077999,0,degraded,59.760,6.908,50.000,attitude reference set to sun_sensor
3,9,5,restore_load:science_b,-0.250000,0.013259,0,degraded,59.350,7.058,50.000,science_b already online
3,10,30,resume_nominal,-0.550000,0.001280,0,degraded,58.900,7.208,50.000,refused: 2 unresolved fault(s) - resolve before resuming nominal
3,11,30,resume_nominal,-0.550000,0.000681,0,degraded,58.400,7.358,50.000,refused: 2 unresolved fault(s) - resolve before resuming nominal
3,12,3,shed_load:transponder,0.250000,0.117057,0,degraded,58.360,7.508,50.000,transponder powered off
3,13,21,query_power_level:battery,0.000000,0.004816,0,degraded,58.280,7.658,50.000,diag: battery_pct=58.4% health=0.60 backup=False pcf=True
3,14,12,stabilize_attitude,0.250000,0.079186,0,degraded,58.900,5.308,48.000,attitude stabilization burn; pointing error 5.16deg
3,15,4,restore_load:science_a,-0.250000,0.000155,0,degraded,59.470,5.458,48.000,science_a already online
3,16,23,query_power_level:solar_b,0.000000,0.014741,0,degraded,60.000,5.608,48.000,diag: solar_b output=65.4W health=1.00 (panel nominal)
3,17,8,switch_to_backup_battery,0.450000,0.249935,0,degraded,100.000,5.758,48.000,switched to backup battery
3,18,20,recalibrate_imu,0.000000,0.031304,0,degraded,100.000,5.908,48.000,IMU recalibrated (bias was negligible)
3,19,8,switch_to_backup_battery,-0.350000,0.065024,0,degraded,100.000,6.058,48.000,already on backup battery
3,20,12,stabilize_attitude,0.250000,0.030356,0,degraded,100.000,3.708,46.000,attitude stabilization burn; pointing error 3.56deg
3,21,0,shed_load:science_a,0.250000,0.165185,0,degraded,100.000,3.858,46.000,science_a powered off
3,22,25,query_thermal,0.000000,0.024179,0,degraded,100.000,4.008,46.000,diag: battery_temp=20.0C heaters=online thermal_fault=False
3,23,7,restore_load:transponder,0.050000,0.975873,0,degraded,100.000,4.158,46.000,transponder restored
3,24,20,recalibrate_imu,0.000000,0.002867,0,degraded,100.000,4.308,46.000,IMU recalibrated (bias was negligible)
3,25,0,shed_load:science_a,-0.250000,0.015645,0,degraded,100.000,4.458,46.000,science_a already offline
3,26,19,switch_attitude_reference:sun_sensor,0.250000,0.028828,0,degraded,100.000,4.608,46.000,attitude reference set to sun_sensor
3,27,0,shed_load:science_a,-0.250000,0.000137,0,degraded,100.000,4.758,46.000,science_a already offline
3,28,29,safe_mode,-0.250000,0.009335,0,degraded,100.000,3.908,46.000,safe mode engaged; non-essentials shed
3,29,22,query_power_level:solar_a,0.000000,0.020022,0,degraded,100.000,4.058,46.000,diag: solar_a output=72.4W health=1.00 (panel nominal)
3,30,23,query_power_level:solar_b,0.000000,0.012135,0,degraded,100.000,4.208,46.000,diag: solar_b output=71.7W health=1.00 (panel nominal)
3,31,27,diagnostic_scan:attitude,0.050000,0.016469,0,degraded,100.000,4.358,46.000,diag-scan attitude: mode=nominal err=4.21deg rw_deg=0.00 st_fault=True ref=sun_sensor
3,32,23,query_power_level:solar_b,0.000000,0.004193,0,degraded,100.000,4.508,46.000,diag: solar_b output=70.4W health=1.00 (panel nominal)
3,33,28,diagnostic_scan:comms,0.050000,0.008533,0,degraded,100.000,4.658,46.000,diag-scan comms: transponder=offline signal=0.0dB comms_fault=False pending_cycle=True
3,34,22,query_power_level:solar_a,0.000000,0.007558,0,degraded,100.000,4.808,46.000,diag: solar_a output=69.0W health=1.00 (panel nominal)
3,35,7,restore_load:transponder,0.050000,0.355117,0,degraded,100.000,4.958,46.000,transponder restored
3,36,20,recalibrate_imu,0.000000,0.009521,0,degraded,100.000,5.108,46.000,IMU recalibrated (bias was negligible)
3,37,13,switch_to_thruster_control,-0.050000,0.036529,0,degraded,100.000,4.908,44.500,ACS switched to thruster control
3,38,20,recalibrate_imu,0.000000,0.001455,0,degraded,100.000,4.708,43.000,IMU recalibrated (bias was negligible)
3,39,28,diagnostic_scan:comms,0.050000,0.010929,0,degraded,100.000,4.508,41.500,diag-scan comms: transponder=online signal=25.0dB comms_fault=False pending_cycle=True
3,40,25,query_thermal,0.000000,0.010283,0,degraded,100.000,4.308,40.000,diag: battery_temp=20.0C heaters=online thermal_fault=False
3,41,22,query_power_level:solar_a,0.000000,0.003190,0,degraded,100.000,4.108,38.500,diag: solar_a output=70.6W health=1.00 (panel nominal)
3,42,8,switch_to_backup_battery,-0.350000,0.003497,0,degraded,100.000,3.908,37.000,already on backup battery
3,43,15,recalibrate_star_tracker,0.950000,0.773738,0,degraded,100.000,2.708,35.500,star tracker recalibrated; drift fault cleared
3,44,19,switch_attitude_reference:sun_sensor,-0.050000,0.016598,0,degraded,100.000,2.508,34.000,attitude reference set to sun_sensor
3,45,16,cross_validate_attitude,-0.050000,0.085683,0,degraded,100.000,2.308,32.500,diag: ST=2.51deg GY=2.51deg SUN=2.51deg disagree=0.00
