episode,seed,epsilon,expert_mix_rate,total_reward,mean_loss,max_loss,steps,done,recovered,lost,final_status,final_battery_pct,final_attitude_error,final_fuel_units,expert_action_count,invalid_action_count,diagnostic_action_count,rolling_reward_20,rolling_loss_20,rolling_success_rate_20,eval_mean_reward,eval_success_rate
51,57,0.736111,0.482143,11.700000,0.158261,1.314824,30,1,1,0,recovered,57.690,0.000,44.000,30,0,12,-0.307500,1.624603,0.550000,,
52,58,0.730833,0.476786,-21.700000,3.800196,183.192946,50,1,0,1,lost,100.000,0.550,48.000,0,1,18,-1.952500,1.800099,0.500000,,
53,59,0.725556,0.471429,-18.850000,3.271178,152.868691,50,1,0,1,lost,100.000,11.000,0.000,0,2,21,-2.375000,1.767512,0.500000,,
54,60,0.720278,0.466071,-11.700000,3.283877,159.470308,50,1,0,1,lost,100.000,0.000,42.000,0,1,13,-2.535000,1.753425,0.500000,,
55,61,0.715000,0.460714,-8.350000,3.178322,152.676204,50,1,0,1,lost,100.000,0.580,44.000,33,4,22,-3.567500,1.899480,0.450000,,
56,62,0.709722,0.455357,-20.300000,2.412010,107.772191,50,1,0,1,lost,49.440,25.500,0.000,0,0,16,-5.137500,2.011044,0.400000,,
57,63,0.704444,0.450000,-12.250000,3.702364,176.148171,50,1,0,1,lost,100.000,5.450,36.000,0,3,14,-6.147500,2.189895,0.350000,,
58,64,0.699167,0.444643,-25.950000,3.564847,172.786634,50,1,0,1,lost,100.000,0.000,44.000,33,4,17,-7.960000,2.354797,0.300000,,
59,65,0.693889,0.439286,-11.000000,3.245672,151.734477,50,1,0,1,lost,100.000,0.000,42.000,0,2,14,-7.755000,2.352007,0.300000,,
60,66,0.688611,0.433929,11.700000,0.095435,1.742751,30,1,1,0,recovered,53.040,0.000,44.000,30,0,12,-6.212500,2.196067,0.350000,-20.540000,0.000000
61,67,0.683333,0.428571,10.650000,0.194557,1.327140,30,1,1,0,recovered,100.000,0.000,44.000,30,0,12,-4.837500,2.051029,0.400000,,
62,68,0.678056,0.423214,-19.650000,2.725480,127.299007,50,1,0,1,lost,75.020,16.196,38.000,0,0,14,-5.382500,2.034623,0.400000,,
63,69,0.672778,0.417857,11.850000,0.143995,1.454175,30,1,1,0,recovered,100.000,0.000,44.000,30,0,12,-5.375000,2.033845,0.400000,,
64,70,0.667500,0.412500,-20.750000,2.068214,96.456843,50,1,0,1,lost,92.780,26.000,0.000,0,2,24,-6.955000,2.134305,0.350000,,
65,71,0.662222,0.407143,-13.000000,2.957551,143.657307,50,1,0,1,lost,100.000,0.000,21.500,0,2,15,-7.897500,2.273426,0.300000,,
66,72,0.656944,0.401786,9.750000,0.264699,1.968153,18,1,1,0,recovered,100.000,0.000,48.000,0,1,6,-6.415000,2.109951,0.350000,,
67,73,0.651667,0.396429,-20.250000,2.642036,121.489296,50,1,0,1,lost,91.210,21.000,0.000,0,2,15,-6.617500,2.108497,0.350000,,
68,74,0.646389,0.391071,-9.950000,3.141869,152.958466,50,1,0,1,lost,100.000,2.777,40.000,0,1,22,-7.662500,2.248369,0.300000,,
69,75,0.641111,0.385714,-19.500000,2.588154,121.040164,50,1,0,1,lost,99.730,13.500,0.000,0,1,12,-9.177500,2.359024,0.250000,,
70,76,0.635833,0.380357,9.700000,0.300762,4.021791,46,1,1,0,recovered,100.000,0.266,30.000,0,0,19,-8.392500,2.186974,0.300000,,
71,77,0.630556,0.375000,-13.250000,3.240098,153.297150,50,1,0,1,lost,100.000,0.450,44.000,0,4,19,-9.640000,2.341066,0.250000,,
72,78,0.625278,0.369643,-13.750000,2.203055,105.548015,50,1,0,1,lost,100.000,0.000,3.000,0,1,18,-9.242500,2.261209,0.250000,,
73,79,0.620000,0.364286,-20.050000,2.307709,103.726827,50,1,0,1,lost,98.200,21.000,0.000,0,0,19,-9.302500,2.213035,0.250000,,
74,80,0.614722,0.358929,-11.850000,3.256008,121.077580,38,1,0,1,lost,100.000,1.500,0.000,0,0,20,-9.310000,2.211642,0.250000,,
75,81,0.609444,0.353571,-17.100000,1.988594,83.388958,45,1,0,1,lost,92.950,21.000,0.000,0,1,15,-9.747500,2.152155,0.250000,,
76,82,0.604167,0.348214,-15.550000,2.601594,121.671131,50,1,0,1,lost,100.000,3.000,0.000,0,1,11,-9.510000,2.161635,0.250000,,
77,83,0.598889,0.342857,-13.600000,2.596097,126.688236,50,1,0,1,lost,100.000,1.850,36.000,0,1,19,-9.577500,2.106321,0.250000,,
78,84,0.593611,0.337500,-13.000000,2.430235,117.984950,50,1,0,1,lost,40.130,0.000,36.000,0,1,21,-8.930000,2.049591,0.250000,,
79,85,0.588333,0.332143,-25.550000,2.471821,115.563197,50,1,0,1,lost,79.000,0.000,44.000,33,4,15,-9.657500,2.010898,0.250000,,
80,86,0.583056,0.326786,-21.450000,2.073493,96.243827,50,1,0,1,lost,90.120,23.500,0.000,0,1,18,-11.315000,2.109801,0.200000,-13.740000,0.000000
