episode,seed,epsilon,expert_mix_rate,total_reward,mean_loss,max_loss,steps,done,recovered,lost,final_status,final_battery_pct,final_attitude_error,final_fuel_units,expert_action_count,invalid_action_count,diagnostic_action_count,rolling_reward_20,rolling_loss_20,rolling_success_rate_20,eval_mean_reward,eval_success_rate
67,73,0.651667,0.396429,-12.300000,2.979719,142.395616,50,1,0,1,lost,100.000,0.000,26.000,14,2,20,-10.057500,2.236217,0.250000,,
68,74,0.646389,0.391071,-10.600000,2.998958,139.830030,50,1,0,1,lost,100.000,9.327,42.000,14,3,16,-10.967500,2.361212,0.200000,,
69,75,0.641111,0.385714,11.750000,0.363004,6.490734,44,1,1,0,recovered,100.000,0.886,12.000,12,2,18,-9.580000,2.222368,0.250000,,
70,76,0.635833,0.380357,-15.900000,3.000871,141.720658,50,1,0,1,lost,100.000,0.000,15.500,14,5,13,-9.542500,2.256673,0.250000,,
71,77,0.630556,0.375000,-20.100000,2.448737,115.130198,50,1,0,1,lost,96.540,20.000,0.000,10,2,19,-11.102500,2.350507,0.200000,,
72,78,0.625278,0.369643,-15.200000,2.959789,142.211122,50,1,0,1,lost,100.000,1.800,44.000,15,2,19,-10.525000,2.356913,0.200000,,
73,79,0.620000,0.364286,9.850000,0.320688,1.990214,13,1,1,0,recovered,100.000,0.900,46.000,5,0,6,-10.577500,2.349864,0.200000,,
74,80,0.614722,0.358929,-12.750000,3.356366,156.743847,50,1,0,1,lost,100.000,0.036,26.000,15,4,14,-10.465000,2.379337,0.200000,,
75,81,0.609444,0.353571,-9.950000,2.914442,142.057059,50,1,0,1,lost,51.530,0.000,38.000,13,2,17,-10.305000,2.351963,0.200000,,
76,82,0.604167,0.348214,-14.300000,3.013043,145.027314,50,1,0,1,lost,100.000,0.000,46.000,9,2,19,-10.240000,2.377223,0.200000,,
77,83,0.598889,0.342857,-14.550000,3.310850,159.527946,50,1,0,1,lost,100.000,0.000,36.000,11,5,14,-11.467500,2.518277,0.150000,,
78,84,0.593611,0.337500,-11.950000,2.653596,131.072772,50,1,0,1,lost,40.130,0.000,38.000,14,3,18,-10.872500,2.500315,0.150000,,
79,85,0.588333,0.332143,-20.700000,2.259987,101.713407,50,1,0,1,lost,76.320,27.000,0.000,6,6,20,-11.312500,2.451566,0.150000,,
80,86,0.583056,0.326786,-12.400000,2.907508,135.677916,50,1,0,1,lost,100.000,0.000,42.000,12,2,16,-11.085000,2.468068,0.150000,,
81,87,0.577778,0.321429,-15.450000,2.330931,113.264806,50,1,0,1,lost,100.000,0.900,46.000,8,3,13,-11.130000,2.466648,0.150000,,
82,88,0.572500,0.316071,-11.650000,2.674688,129.165445,50,1,0,1,lost,58.770,2.550,50.000,6,0,16,-10.747500,2.470568,0.150000,,
83,89,0.567222,0.310714,10.200000,0.434659,2.797549,28,1,1,0,recovered,100.000,0.450,44.000,14,1,8,-9.230000,2.372993,0.200000,,
84,90,0.561944,0.305357,-13.800000,2.723538,130.657036,50,1,0,1,lost,100.000,0.000,31.500,13,2,20,-10.427500,2.494660,0.150000,,
85,91,0.556667,0.300000,-11.150000,2.690849,127.905703,50,1,0,1,lost,100.000,10.501,46.000,12,2,17,-10.242500,2.485338,0.150000,,
